,SYMBOL,SERIES,OPEN_day2cm,HIGH_day2cm,LOW_day2cm,CLOSE_day2cm,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP_day2cm,TOTALTRADES,ISIN,INSTRUMENT,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN_day2fo,HIGH_day2fo,LOW_day2fo,CLOSE_day2fo,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP_day2fo,ACTUAL BASIS,ACTUAL BASIS %,DAYS TO EXPIRE,FV
2787,BAJFINANCE,EQ,5331.0,5331.0,5251.65,5297.35,5291.2,5325.65,40340.0,213722172.55,2015-11-06,6507.0,INE296A01016,FUTSTK,2015-11-26,0.0,XX,5329.95,5343.15,5255.1,5303.95,5303.95,436.0,2890.89,181375.0,-4250.0,2015-11-06,0.00124435562175,0.124435562175,20,5317.64538242
2788,BAJFINANCE,EQ,5331.0,5331.0,5251.65,5297.35,5291.2,5325.65,40340.0,213722172.55,2015-11-06,6507.0,INE296A01016,FUTSTK,2015-12-31,0.0,XX,5320.0,5320.0,5308.0,5308.0,5356.35,2.0,13.28,750.0,0.0,2015-11-06,0.0110149635479,1.10149635479,55,5353.34958201
2789,BAJFINANCE,EQ,5331.0,5331.0,5251.65,5297.35,5291.2,5325.65,40340.0,213722172.55,2015-11-06,6507.0,INE296A01016,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,5257.85,5386.65,0.0,0.0,0.0,0.0,2015-11-06,0.0165780215904,1.65780215904,83,5382.08546892
3003,BANKBARODA,EQ,158.5,169.2,140.1,167.05,168.65,159.4,41221671.0,6506783945.5,2015-11-06,196792.0,INE028A01039,FUTSTK,2015-11-26,0.0,XX,146.25,168.9,146.25,167.15,167.15,27240.0,134221.45,39122000.0,880400.0,2015-11-06,0.000598265031409,0.0598265031409,20,167.690007482
3004,BANKBARODA,EQ,158.5,169.2,140.1,167.05,168.65,159.4,41221671.0,6506783945.5,2015-11-06,196792.0,INE028A01039,FUTSTK,2015-12-31,0.0,XX,147.0,169.3,147.0,167.65,167.65,441.0,2196.85,744000.0,399900.0,2015-11-06,0.00357888458097,0.357888458097,55,168.815926392
3005,BANKBARODA,EQ,158.5,169.2,140.1,167.05,168.65,159.4,41221671.0,6506783945.5,2015-11-06,196792.0,INE028A01039,FUTSTK,2016-01-28,0.0,XX,152.5,169.6,152.5,169.6,169.6,2.0,9.98,9300.0,3100.0,2015-11-06,0.0150353773585,1.50353773585,83,169.722102104
3115,BANKINDIA,EQ,132.5,136.35,130.55,134.5,135.8,132.5,2448048.0,327045544.95,2015-11-06,15939.0,INE084A01016,FUTSTK,2015-11-26,0.0,XX,132.0,136.95,130.6,135.4,135.4,3157.0,12712.69,14016000.0,-744000.0,2015-11-06,0.00664697193501,0.664697193501,20,135.015300846
3116,BANKINDIA,EQ,132.5,136.35,130.55,134.5,135.8,132.5,2448048.0,327045544.95,2015-11-06,15939.0,INE084A01016,FUTSTK,2015-12-31,0.0,XX,131.35,137.15,131.05,136.0,136.0,55.0,222.15,261000.0,0.0,2015-11-06,0.0110294117647,1.10294117647,55,135.921832384
3117,BANKINDIA,EQ,132.5,136.35,130.55,134.5,135.8,132.5,2448048.0,327045544.95,2015-11-06,15939.0,INE084A01016,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,134.95,136.8,0.0,0.0,24000.0,0.0,2015-11-06,0.0168128654971,1.68128654971,83,136.651438091
3262,BATAINDIA,EQ,470.0,472.5,462.05,466.05,466.1,464.65,237080.0,110829448.05,2015-11-06,7191.0,INE176A01028,FUTSTK,2015-11-26,0.0,XX,470.0,470.0,456.05,463.25,463.25,905.0,4192.46,3828000.0,-125000.0,2015-11-06,-0.00604425256341,-0.604425256341,20,467.835546165
3263,BATAINDIA,EQ,470.0,472.5,462.05,466.05,466.1,464.65,237080.0,110829448.05,2015-11-06,7191.0,INE176A01028,FUTSTK,2015-12-31,0.0,XX,454.3,462.0,454.3,458.0,458.0,9.0,41.26,74000.0,1000.0,2015-11-06,-0.017576419214,-1.7576419214,55,470.976728495
3264,BATAINDIA,EQ,470.0,472.5,462.05,466.05,466.1,464.65,237080.0,110829448.05,2015-11-06,7191.0,INE176A01028,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,486.0,473.9,0.0,0.0,1000.0,0.0,2015-11-06,0.016564676092,1.6564676092,83,473.504852953
3442,BEL,EQ,1241.65,1262.0,1236.0,1244.55,1247.35,1240.3,259455.0,324685966.6,2015-11-06,19490.0,INE263A01016,FUTSTK,2015-11-26,0.0,XX,1244.25,1262.0,1232.1,1240.8,1240.8,656.0,3688.4,2367000.0,0.0,2015-11-06,-0.00302224371373,-0.302224371373,20,1249.3181611
3443,BEL,EQ,1241.65,1262.0,1236.0,1244.55,1247.35,1240.3,259455.0,324685966.6,2015-11-06,19490.0,INE263A01016,FUTSTK,2015-12-31,0.0,XX,1250.0,1250.0,1229.1,1229.1,1229.1,8.0,44.79,21600.0,450.0,2015-11-06,-0.0125701732975,-1.25701732975,55,1257.70644233
3444,BEL,EQ,1241.65,1262.0,1236.0,1244.55,1247.35,1240.3,259455.0,324685966.6,2015-11-06,19490.0,INE263A01016,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,1264.0,1265.55,0.0,0.0,900.0,0.0,2015-11-06,0.0165935759156,1.65935759156,83,1264.45760056
3609,BEML,EQ,1109.0,1119.0,1073.15,1108.65,1109.9,1098.05,283618.0,311226336.05,2015-11-06,14944.0,INE258A01016,FUTSTK,2015-11-26,0.0,XX,1116.3,1121.95,1077.0,1109.05,1109.05,602.0,3315.14,297000.0,-29000.0,2015-11-06,0.000360669041071,0.0360669041071,20,1112.89749653
3610,BEML,EQ,1109.0,1119.0,1073.15,1108.65,1109.9,1098.05,283618.0,311226336.05,2015-11-06,14944.0,INE258A01016,FUTSTK,2015-12-31,0.0,XX,0.0,0.0,0.0,1102.2,1121.0,0.0,0.0,5500.0,0.0,2015-11-06,0.0110169491525,1.10169491525,55,1120.36981021
3611,BEML,EQ,1109.0,1119.0,1073.15,1108.65,1109.9,1098.05,283618.0,311226336.05,2015-11-06,14944.0,INE258A01016,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,1196.75,1127.35,0.0,0.0,0.0,0.0,2015-11-06,0.0165875726261,1.65875726261,83,1126.38376832
3709,BHARATFORG,EQ,865.0,872.0,851.0,866.45,872.0,860.7,482929.0,415986174.75,2015-11-06,14258.0,INE465A01025,FUTSTK,2015-11-26,0.0,XX,858.7,868.95,850.05,866.45,866.45,1760.0,7578.16,3715000.0,-79500.0,2015-11-06,0.0,0.0,20,869.76957188
3710,BHARATFORG,EQ,865.0,872.0,851.0,866.45,872.0,860.7,482929.0,415986174.75,2015-11-06,14258.0,INE465A01025,FUTSTK,2015-12-31,0.0,XX,865.85,870.45,858.0,870.4,870.4,9.0,38.89,63500.0,2000.0,2015-11-06,0.00453814338235,0.453814338235,55,875.60945479
3711,BHARATFORG,EQ,865.0,872.0,851.0,866.45,872.0,860.7,482929.0,415986174.75,2015-11-06,14258.0,INE465A01025,FUTSTK,2016-01-28,0.0,XX,0.0,0.0,0.0,829.4,881.05,0.0,0.0,0.0,0.0,2015-11-06,0.0165711367119,1.65711367119,83,880.309580176
3826,BHARTIARTL,EQ,333.0,342.15,317.1,339.2,340.0,336.55,3040002.0,1019353066.1,2015-11-06,38577.0,INE397D01024,FUTSTK,2015-11-26,0.0,XX,333.2,341.6,318.3,339.95,339.95,3041.0,12260.85,16815600.0,-246000.0,2015-11-06,0.00220620679512,0.220620679512,20,340.499554252
3827,BHARTIARTL,EQ,333.0,342.15,317.1,339.2,340.0,336.55,3040002.0,1019353066.1,2015-11-06,38577.0,INE397D01024,FUTSTK,2015-12-31,0.0,XX,335.9,342.9,321.35,341.55,341.55,95.0,383.94,188400.0,20400.0,2015-11-06,0.00688039818475,0.688039818475,55,342.785766131
