INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BIOCON,26-Nov-2015,0,XX,443.5,448.5,441.35,444.75,444.75,530,2593.31,2669700,-53900,16-NOV-2015,
FUTSTK,BIOCON,31-Dec-2015,0,XX,446.5,450.05,446.5,446.9,446.9,10,49.24,249700,3300,16-NOV-2015,
FUTSTK,BIOCON,28-Jan-2016,0,XX,0,0,0,448.3,451.15,0,0,3300,0,16-NOV-2015,
FUTSTK,BOSCHLTD,26-Nov-2015,0,XX,19003,19320,18829.95,19230.55,19230.55,1260,6011.14,112900,375,16-NOV-2015,
FUTSTK,BOSCHLTD,31-Dec-2015,0,XX,18890.3,19389.7,18890.3,19373.15,19373.15,21,100.82,1525,100,16-NOV-2015,
FUTSTK,BOSCHLTD,28-Jan-2016,0,XX,0,0,0,21458.15,19442.1,0,0,0,0,16-NOV-2015,
FUTSTK,BPCL,26-Nov-2015,0,XX,910.95,914,900.5,902.65,902.65,3157,17151.32,5280600,-15600,16-NOV-2015,
FUTSTK,BPCL,31-Dec-2015,0,XX,917.3,917.75,905.8,906.85,906.85,80,436.83,69600,13200,16-NOV-2015,
FUTSTK,BPCL,28-Jan-2016,0,XX,916.05,918,916.05,918,912,3,16.5,4200,1200,16-NOV-2015,
FUTSTK,BRITANNIA,26-Nov-2015,0,XX,2905,2911,2841.45,2858.45,2858.45,2524,14477.98,1469800,49800,16-NOV-2015,
FUTSTK,BRITANNIA,31-Dec-2015,0,XX,2922.65,2922.65,2860,2872.1,2872.1,219,1262.68,34600,17000,16-NOV-2015,
FUTSTK,BRITANNIA,28-Jan-2016,0,XX,0,0,0,3249.35,2888.4,0,0,0,0,16-NOV-2015,
FUTSTK,CADILAHC,26-Nov-2015,0,XX,410.55,417.45,396.15,398,398,2001,12086.87,2688000,48000,16-NOV-2015,
FUTSTK,CADILAHC,31-Dec-2015,0,XX,418.4,418.4,398,398.5,398.5,208,1260.2,252000,151500,16-NOV-2015,
FUTSTK,CADILAHC,28-Jan-2016,0,XX,406.5,406.5,406.5,406.5,402.7,1,6.09,7500,1500,16-NOV-2015,
FUTSTK,CAIRN,26-Nov-2015,0,XX,130.45,133.75,129.5,132.2,132.2,1588,6277.93,9726000,42000,16-NOV-2015,
FUTSTK,CAIRN,31-Dec-2015,0,XX,130.85,133.95,130.85,132.9,132.9,83,329.56,444000,123000,16-NOV-2015,
FUTSTK,CAIRN,28-Jan-2016,0,XX,0,0,0,131.3,133.5,0,0,18000,0,16-NOV-2015,
FUTSTK,CANBK,26-Nov-2015,0,XX,277.4,283.5,276.9,283,283,2835,15929.97,9608000,102000,16-NOV-2015,
FUTSTK,CANBK,31-Dec-2015,0,XX,279.05,284.65,278.65,284.05,284.05,65,366.34,318000,18000,16-NOV-2015,
FUTSTK,CANBK,28-Jan-2016,0,XX,285,285,285,285,285.9,1,5.7,4000,-2000,16-NOV-2015,
FUTSTK,CASTROLIND,26-Nov-2015,0,XX,436.55,440.8,434,437,437,144,692.48,1373900,44000,16-NOV-2015,
FUTSTK,CASTROLIND,31-Dec-2015,0,XX,440,440,439,439.8,439.8,9,43.54,16500,9900,16-NOV-2015,
FUTSTK,CASTROLIND,28-Jan-2016,0,XX,0,0,0,467.8,441.8,0,0,0,0,16-NOV-2015,
FUTSTK,CEATLTD,26-Nov-2015,0,XX,985,1000,961,988.85,988.85,791,5429.35,2305800,-46900,16-NOV-2015,
FUTSTK,CEATLTD,31-Dec-2015,0,XX,977.15,998.95,977.15,993.45,993.45,27,186.55,30100,5600,16-NOV-2015,
FUTSTK,CEATLTD,28-Jan-2016,0,XX,0,0,0,1135,998.1,0,0,0,0,16-NOV-2015,
FUTSTK,CENTURYTEX,26-Nov-2015,0,XX,520.2,556.9,520.15,553.8,553.8,5926,25778.02,7606400,-68800,16-NOV-2015,
FUTSTK,CENTURYTEX,31-Dec-2015,0,XX,528,560,527.85,556.4,556.4,68,297.91,77600,1600,16-NOV-2015,
FUTSTK,CENTURYTEX,28-Jan-2016,0,XX,0,0,0,558.55,560.4,0,0,0,0,16-NOV-2015,
FUTSTK,CESC,26-Nov-2015,0,XX,556.9,558.2,542.5,551.25,551.25,1268,6969.62,2440000,37000,16-NOV-2015,
FUTSTK,CESC,31-Dec-2015,0,XX,551.55,559.5,546,557,553.85,21,116.03,31000,2000,16-NOV-2015,
FUTSTK,CESC,28-Jan-2016,0,XX,0,0,0,594.95,556.95,0,0,0,0,16-NOV-2015,
FUTSTK,CIPLA,26-Nov-2015,0,XX,617,632.9,615.55,628.55,628.55,3412,17059.29,8204800,-145600,16-NOV-2015,
FUTSTK,CIPLA,31-Dec-2015,0,XX,622.1,636.5,620,632.45,632.45,164,826.23,224000,11200,16-NOV-2015,
